fact_id,variant_id,question,original_question,correct_answer,possible_answers,type
fact_0041,direct_answer,Directly answer this factual question: Who was the director of After Hours?,Who was the director of After Hours?,Martin Scorsese,"[""Martin Scorsese"", ""Martin Skorseze"", ""Martin Charles Scorsese""]",director
fact_0042,original,Who was the director of Hackers?,Who was the director of Hackers?,Iain Softley,"[""Iain Softley"", ""Iain Declan Softley""]",director
fact_0042,short_direct,Who is the director of Hackers?,Who was the director of Hackers?,Iain Softley,"[""Iain Softley"", ""Iain Declan Softley""]",director
fact_0042,answer_briefly,Who was the director of Hackers? Answer briefly.,Who was the director of Hackers?,Iain Softley,"[""Iain Softley"", ""Iain Declan Softley""]",director
fact_0042,no_explanation,Who was the director of Hackers? Give only the answer.,Who was the director of Hackers?,Iain Softley,"[""Iain Softley"", ""Iain Declan Softley""]",director
fact_0042,direct_answer,Directly answer this factual question: Who was the director of Hackers?,Who was the director of Hackers?,Iain Softley,"[""Iain Softley"", ""Iain Declan Softley""]",director
fact_0043,original,Who was the composer of The Social Network?,Who was the composer of The Social Network?,Trent Reznor,"[""Trent Reznor"", ""Michael Trent Reznor""]",composer
fact_0043,short_direct,Who is the composer of The Social Network?,Who was the composer of The Social Network?,Trent Reznor,"[""Trent Reznor"", ""Michael Trent Reznor""]",composer
fact_0043,answer_briefly,Who was the composer of The Social Network? Answer briefly.,Who was the composer of The Social Network?,Trent Reznor,"[""Trent Reznor"", ""Michael Trent Reznor""]",composer
fact_0043,no_explanation,Who was the composer of The Social Network? Give only the answer.,Who was the composer of The Social Network?,Trent Reznor,"[""Trent Reznor"", ""Michael Trent Reznor""]",composer
fact_0043,direct_answer,Directly answer this factual question: Who was the composer of The Social Network?,Who was the composer of The Social Network?,Trent Reznor,"[""Trent Reznor"", ""Michael Trent Reznor""]",composer
fact_0044,original,Who was the screenwriter for Champion?,Who was the screenwriter for Champion?,Rabi Kinagi,"[""Rabi Kinagi"", ""Ravi Kinagi"", ""Rabi Kinnagi""]",screenwriter
fact_0044,short_direct,Who is the screenwriter for Champion?,Who was the screenwriter for Champion?,Rabi Kinagi,"[""Rabi Kinagi"", ""Ravi Kinagi"", ""Rabi Kinnagi""]",screenwriter
fact_0044,answer_briefly,Who was the screenwriter for Champion? Answer briefly.,Who was the screenwriter for Champion?,Rabi Kinagi,"[""Rabi Kinagi"", ""Ravi Kinagi"", ""Rabi Kinnagi""]",screenwriter
fact_0044,no_explanation,Who was the screenwriter for Champion? Give only the answer.,Who was the screenwriter for Champion?,Rabi Kinagi,"[""Rabi Kinagi"", ""Ravi Kinagi"", ""Rabi Kinnagi""]",screenwriter
fact_0044,direct_answer,Directly answer this factual question: Who was the screenwriter for Champion?,Who was the screenwriter for Champion?,Rabi Kinagi,"[""Rabi Kinagi"", ""Ravi Kinagi"", ""Rabi Kinnagi""]",screenwriter
fact_0045,original,Who is the author of Reality Is What You Can Get Away With?,Who is the author of Reality Is What You Can Get Away With?,Robert Anton Wilson,"[""Robert Anton Wilson"", ""Robert Edward Wilson""]",author
fact_0045,answer_briefly,Who is the author of Reality Is What You Can Get Away With? Answer briefly.,Who is the author of Reality Is What You Can Get Away With?,Robert Anton Wilson,"[""Robert Anton Wilson"", ""Robert Edward Wilson""]",author
fact_0045,no_explanation,Who is the author of Reality Is What You Can Get Away With? Give only the answer.,Who is the author of Reality Is What You Can Get Away With?,Robert Anton Wilson,"[""Robert Anton Wilson"", ""Robert Edward Wilson""]",author
fact_0045,direct_answer,Directly answer this factual question: Who is the author of Reality Is What You Can Get Away With?,Who is the author of Reality Is What You Can Get Away With?,Robert Anton Wilson,"[""Robert Anton Wilson"", ""Robert Edward Wilson""]",author
fact_0046,original,Who is the author of Anything Goes?,Who is the author of Anything Goes?,Howard Lindsay,"[""Howard Lindsay"", ""Herman Nelke"", ""Russel Crouse"", ""P. G. Wodehouse"", ""Pelham Grenville Wodehouse"", ""Sir Pelham Grenville Wodehouse"", ""Guy Bolton"", ""H. B. Trevelyan"", ""Guy Reginald Bolton""]",author
fact_0046,answer_briefly,Who is the author of Anything Goes? Answer briefly.,Who is the author of Anything Goes?,Howard Lindsay,"[""Howard Lindsay"", ""Herman Nelke"", ""Russel Crouse"", ""P. G. Wodehouse"", ""Pelham Grenville Wodehouse"", ""Sir Pelham Grenville Wodehouse"", ""Guy Bolton"", ""H. B. Trevelyan"", ""Guy Reginald Bolton""]",author
fact_0046,no_explanation,Who is the author of Anything Goes? Give only the answer.,Who is the author of Anything Goes?,Howard Lindsay,"[""Howard Lindsay"", ""Herman Nelke"", ""Russel Crouse"", ""P. G. Wodehouse"", ""Pelham Grenville Wodehouse"", ""Sir Pelham Grenville Wodehouse"", ""Guy Bolton"", ""H. B. Trevelyan"", ""Guy Reginald Bolton""]",author
fact_0046,direct_answer,Directly answer this factual question: Who is the author of Anything Goes?,Who is the author of Anything Goes?,Howard Lindsay,"[""Howard Lindsay"", ""Herman Nelke"", ""Russel Crouse"", ""P. G. Wodehouse"", ""Pelham Grenville Wodehouse"", ""Sir Pelham Grenville Wodehouse"", ""Guy Bolton"", ""H. B. Trevelyan"", ""Guy Reginald Bolton""]",author
fact_0047,original,Who is the author of Forever in Blue: The Fourth Summer of the Sisterhood?,Who is the author of Forever in Blue: The Fourth Summer of the Sisterhood?,Ann Brashares,"[""Ann Brashares""]",author
fact_0047,answer_briefly,Who is the author of Forever in Blue: The Fourth Summer of the Sisterhood? Answer briefly.,Who is the author of Forever in Blue: The Fourth Summer of the Sisterhood?,Ann Brashares,"[""Ann Brashares""]",author
fact_0047,no_explanation,Who is the author of Forever in Blue: The Fourth Summer of the Sisterhood? Give only the answer.,Who is the author of Forever in Blue: The Fourth Summer of the Sisterhood?,Ann Brashares,"[""Ann Brashares""]",author
fact_0047,direct_answer,Directly answer this factual question: Who is the author of Forever in Blue: The Fourth Summer of the Sisterhood?,Who is the author of Forever in Blue: The Fourth Summer of the Sisterhood?,Ann Brashares,"[""Ann Brashares""]",author
fact_0048,original,Who was the screenwriter for 2012?,Who was the screenwriter for 2012?,Roland Emmerich,"[""Roland Emmerich""]",screenwriter
fact_0048,short_direct,Who is the screenwriter for 2012?,Who was the screenwriter for 2012?,Roland Emmerich,"[""Roland Emmerich""]",screenwriter
fact_0048,answer_briefly,Who was the screenwriter for 2012? Answer briefly.,Who was the screenwriter for 2012?,Roland Emmerich,"[""Roland Emmerich""]",screenwriter
fact_0048,no_explanation,Who was the screenwriter for 2012? Give only the answer.,Who was the screenwriter for 2012?,Roland Emmerich,"[""Roland Emmerich""]",screenwriter
fact_0048,direct_answer,Directly answer this factual question: Who was the screenwriter for 2012?,Who was the screenwriter for 2012?,Roland Emmerich,"[""Roland Emmerich""]",screenwriter
fact_0049,original,Who was the producer of Precious?,Who was the producer of Precious?,Lee Daniels,"[""Lee Daniels"", ""Lee Louis Daniels"", ""Oprah Winfrey"", ""Oprah Gail Winfrey"", ""Oprah"", ""Tyler Perry"", ""Emmitt Perry Jr.""]",producer
fact_0049,short_direct,Who is the producer of Precious?,Who was the producer of Precious?,Lee Daniels,"[""Lee Daniels"", ""Lee Louis Daniels"", ""Oprah Winfrey"", ""Oprah Gail Winfrey"", ""Oprah"", ""Tyler Perry"", ""Emmitt Perry Jr.""]",producer
fact_0049,answer_briefly,Who was the producer of Precious? Answer briefly.,Who was the producer of Precious?,Lee Daniels,"[""Lee Daniels"", ""Lee Louis Daniels"", ""Oprah Winfrey"", ""Oprah Gail Winfrey"", ""Oprah"", ""Tyler Perry"", ""Emmitt Perry Jr.""]",producer
fact_0049,no_explanation,Who was the producer of Precious? Give only the answer.,Who was the producer of Precious?,Lee Daniels,"[""Lee Daniels"", ""Lee Louis Daniels"", ""Oprah Winfrey"", ""Oprah Gail Winfrey"", ""Oprah"", ""Tyler Perry"", ""Emmitt Perry Jr.""]",producer
fact_0049,direct_answer,Directly answer this factual question: Who was the producer of Precious?,Who was the producer of Precious?,Lee Daniels,"[""Lee Daniels"", ""Lee Louis Daniels"", ""Oprah Winfrey"", ""Oprah Gail Winfrey"", ""Oprah"", ""Tyler Perry"", ""Emmitt Perry Jr.""]",producer
fact_0050,original,In what city was Alfredo Ramos Martínez born?,In what city was Alfredo Ramos Martínez born?,Monterrey,"[""Monterrey"", ""Monterrey, Nuevo Leon"", ""Monterrey, Mexico"", ""La sultana del norte"", ""La ciudad de las montañas""]",place of birth
fact_0050,answer_briefly,In what city was Alfredo Ramos Martínez born? Answer briefly.,In what city was Alfredo Ramos Martínez born?,Monterrey,"[""Monterrey"", ""Monterrey, Nuevo Leon"", ""Monterrey, Mexico"", ""La sultana del norte"", ""La ciudad de las montañas""]",place of birth
fact_0050,no_explanation,In what city was Alfredo Ramos Martínez born? Give only the answer.,In what city was Alfredo Ramos Martínez born?,Monterrey,"[""Monterrey"", ""Monterrey, Nuevo Leon"", ""Monterrey, Mexico"", ""La sultana del norte"", ""La ciudad de las montañas""]",place of birth
fact_0050,direct_answer,Directly answer this factual question: In what city was Alfredo Ramos Martínez born?,In what city was Alfredo Ramos Martínez born?,Monterrey,"[""Monterrey"", ""Monterrey, Nuevo Leon"", ""Monterrey, Mexico"", ""La sultana del norte"", ""La ciudad de las montañas""]",place of birth
fact_0051,original,Who was the composer of Petrushka chord?,Who was the composer of Petrushka chord?,Igor Stravinsky,"[""Igor Stravinsky"", ""Igor Fyodorovich Stravinsky"", ""Stravinsky"", ""Igor Strawinski"", ""Igor Strawinsky"", ""Igor Stravinskii"", ""Igor Feodorovich Stravinsky"", ""Jgor Strawinsky"", ""Igor Strawinskij"", ""Igor Stravinski"", ""Igor Fedorovich Stravinsky"", ""I. Strawinsky""]",composer
fact_0051,short_direct,Who is the composer of Petrushka chord?,Who was the composer of Petrushka chord?,Igor Stravinsky,"[""Igor Stravinsky"", ""Igor Fyodorovich Stravinsky"", ""Stravinsky"", ""Igor Strawinski"", ""Igor Strawinsky"", ""Igor Stravinskii"", ""Igor Feodorovich Stravinsky"", ""Jgor Strawinsky"", ""Igor Strawinskij"", ""Igor Stravinski"", ""Igor Fedorovich Stravinsky"", ""I. Strawinsky""]",composer
fact_0051,answer_briefly,Who was the composer of Petrushka chord? Answer briefly.,Who was the composer of Petrushka chord?,Igor Stravinsky,"[""Igor Stravinsky"", ""Igor Fyodorovich Stravinsky"", ""Stravinsky"", ""Igor Strawinski"", ""Igor Strawinsky"", ""Igor Stravinskii"", ""Igor Feodorovich Stravinsky"", ""Jgor Strawinsky"", ""Igor Strawinskij"", ""Igor Stravinski"", ""Igor Fedorovich Stravinsky"", ""I. Strawinsky""]",composer
fact_0051,no_explanation,Who was the composer of Petrushka chord? Give only the answer.,Who was the composer of Petrushka chord?,Igor Stravinsky,"[""Igor Stravinsky"", ""Igor Fyodorovich Stravinsky"", ""Stravinsky"", ""Igor Strawinski"", ""Igor Strawinsky"", ""Igor Stravinskii"", ""Igor Feodorovich Stravinsky"", ""Jgor Strawinsky"", ""Igor Strawinskij"", ""Igor Stravinski"", ""Igor Fedorovich Stravinsky"", ""I. Strawinsky""]",composer
fact_0051,direct_answer,Directly answer this factual question: Who was the composer of Petrushka chord?,Who was the composer of Petrushka chord?,Igor Stravinsky,"[""Igor Stravinsky"", ""Igor Fyodorovich Stravinsky"", ""Stravinsky"", ""Igor Strawinski"", ""Igor Strawinsky"", ""Igor Stravinskii"", ""Igor Feodorovich Stravinsky"", ""Jgor Strawinsky"", ""Igor Strawinskij"", ""Igor Stravinski"", ""Igor Fedorovich Stravinsky"", ""I. Strawinsky""]",composer
fact_0052,original,Who was the screenwriter for The Sea Inside?,Who was the screenwriter for The Sea Inside?,Mateo Gil,"[""Mateo Gil""]",screenwriter
fact_0052,short_direct,Who is the screenwriter for The Sea Inside?,Who was the screenwriter for The Sea Inside?,Mateo Gil,"[""Mateo Gil""]",screenwriter
fact_0052,answer_briefly,Who was the screenwriter for The Sea Inside? Answer briefly.,Who was the screenwriter for The Sea Inside?,Mateo Gil,"[""Mateo Gil""]",screenwriter
fact_0052,no_explanation,Who was the screenwriter for The Sea Inside? Give only the answer.,Who was the screenwriter for The Sea Inside?,Mateo Gil,"[""Mateo Gil""]",screenwriter
fact_0052,direct_answer,Directly answer this factual question: Who was the screenwriter for The Sea Inside?,Who was the screenwriter for The Sea Inside?,Mateo Gil,"[""Mateo Gil""]",screenwriter
fact_0053,original,Who was the producer of The Fog?,Who was the producer of The Fog?,Debra Hill,"[""Debra Hill"", ""John Carpenter"", ""John Howard Carpenter""]",producer
fact_0053,short_direct,Who is the producer of The Fog?,Who was the producer of The Fog?,Debra Hill,"[""Debra Hill"", ""John Carpenter"", ""John Howard Carpenter""]",producer
fact_0053,answer_briefly,Who was the producer of The Fog? Answer briefly.,Who was the producer of The Fog?,Debra Hill,"[""Debra Hill"", ""John Carpenter"", ""John Howard Carpenter""]",producer
fact_0053,no_explanation,Who was the producer of The Fog? Give only the answer.,Who was the producer of The Fog?,Debra Hill,"[""Debra Hill"", ""John Carpenter"", ""John Howard Carpenter""]",producer
fact_0053,direct_answer,Directly answer this factual question: Who was the producer of The Fog?,Who was the producer of The Fog?,Debra Hill,"[""Debra Hill"", ""John Carpenter"", ""John Howard Carpenter""]",producer
fact_0054,original,Who is the author of Utopia?,Who is the author of Utopia?,Thomas More,"[""Thomas More"", ""Sir Thomas More"", ""Saint Thomas More"", ""Thomas Morus"", ""Thomas, Saint More"", ""Thomas, Sir More""]",author
fact_0054,answer_briefly,Who is the author of Utopia? Answer briefly.,Who is the author of Utopia?,Thomas More,"[""Thomas More"", ""Sir Thomas More"", ""Saint Thomas More"", ""Thomas Morus"", ""Thomas, Saint More"", ""Thomas, Sir More""]",author
fact_0054,no_explanation,Who is the author of Utopia? Give only the answer.,Who is the author of Utopia?,Thomas More,"[""Thomas More"", ""Sir Thomas More"", ""Saint Thomas More"", ""Thomas Morus"", ""Thomas, Saint More"", ""Thomas, Sir More""]",author
fact_0054,direct_answer,Directly answer this factual question: Who is the author of Utopia?,Who is the author of Utopia?,Thomas More,"[""Thomas More"", ""Sir Thomas More"", ""Saint Thomas More"", ""Thomas Morus"", ""Thomas, Saint More"", ""Thomas, Sir More""]",author
fact_0055,original,Who was the producer of Positive?,Who was the producer of Positive?,Farhan Akhtar,"[""Farhan Akhtar"", ""Ritesh Sidhwani""]",producer
fact_0055,short_direct,Who is the producer of Positive?,Who was the producer of Positive?,Farhan Akhtar,"[""Farhan Akhtar"", ""Ritesh Sidhwani""]",producer
fact_0055,answer_briefly,Who was the producer of Positive? Answer briefly.,Who was the producer of Positive?,Farhan Akhtar,"[""Farhan Akhtar"", ""Ritesh Sidhwani""]",producer
fact_0055,no_explanation,Who was the producer of Positive? Give only the answer.,Who was the producer of Positive?,Farhan Akhtar,"[""Farhan Akhtar"", ""Ritesh Sidhwani""]",producer
fact_0055,direct_answer,Directly answer this factual question: Who was the producer of Positive?,Who was the producer of Positive?,Farhan Akhtar,"[""Farhan Akhtar"", ""Ritesh Sidhwani""]",producer
fact_0056,original,Who is the father of Count Palatine Joseph Charles of Sulzbach?,Who is the father of Count Palatine Joseph Charles of Sulzbach?,"Theodore Eustace, Count Palatine of Sulzbach","[""Theodore Eustace, Count Palatine of Sulzbach"", ""Theodore Eustace""]",father
fact_0056,answer_briefly,Who is the father of Count Palatine Joseph Charles of Sulzbach? Answer briefly.,Who is the father of Count Palatine Joseph Charles of Sulzbach?,"Theodore Eustace, Count Palatine of Sulzbach","[""Theodore Eustace, Count Palatine of Sulzbach"", ""Theodore Eustace""]",father
fact_0056,no_explanation,Who is the father of Count Palatine Joseph Charles of Sulzbach? Give only the answer.,Who is the father of Count Palatine Joseph Charles of Sulzbach?,"Theodore Eustace, Count Palatine of Sulzbach","[""Theodore Eustace, Count Palatine of Sulzbach"", ""Theodore Eustace""]",father
fact_0056,direct_answer,Directly answer this factual question: Who is the father of Count Palatine Joseph Charles of Sulzbach?,Who is the father of Count Palatine Joseph Charles of Sulzbach?,"Theodore Eustace, Count Palatine of Sulzbach","[""Theodore Eustace, Count Palatine of Sulzbach"", ""Theodore Eustace""]",father
fact_0057,original,Who was the screenwriter for The Naked Gun: From the Files of Police Squad!?,Who was the screenwriter for The Naked Gun: From the Files of Police Squad!?,Pat Proft,"[""Pat Proft"", ""Jerry Zucker"", ""Jim Abrahams"", ""James S. Abrahams"", ""David Zucker""]",screenwriter
fact_0057,short_direct,Who is the screenwriter for The Naked Gun: From the Files of Police Squad!?,Who was the screenwriter for The Naked Gun: From the Files of Police Squad!?,Pat Proft,"[""Pat Proft"", ""Jerry Zucker"", ""Jim Abrahams"", ""James S. Abrahams"", ""David Zucker""]",screenwriter
fact_0057,answer_briefly,Who was the screenwriter for The Naked Gun: From the Files of Police Squad!? Answer briefly.,Who was the screenwriter for The Naked Gun: From the Files of Police Squad!?,Pat Proft,"[""Pat Proft"", ""Jerry Zucker"", ""Jim Abrahams"", ""James S. Abrahams"", ""David Zucker""]",screenwriter
fact_0057,no_explanation,Who was the screenwriter for The Naked Gun: From the Files of Police Squad!? Give only the answer.,Who was the screenwriter for The Naked Gun: From the Files of Police Squad!?,Pat Proft,"[""Pat Proft"", ""Jerry Zucker"", ""Jim Abrahams"", ""James S. Abrahams"", ""David Zucker""]",screenwriter
fact_0057,direct_answer,Directly answer this factual question: Who was the screenwriter for The Naked Gun: From the Files of Police Squad!?,Who was the screenwriter for The Naked Gun: From the Files of Police Squad!?,Pat Proft,"[""Pat Proft"", ""Jerry Zucker"", ""Jim Abrahams"", ""James S. Abrahams"", ""David Zucker""]",screenwriter
fact_0058,original,Who was the screenwriter for I Come with the Rain?,Who was the screenwriter for I Come with the Rain?,Tran Anh Hung,"[""Tran Anh Hung""]",screenwriter
fact_0058,short_direct,Who is the screenwriter for I Come with the Rain?,Who was the screenwriter for I Come with the Rain?,Tran Anh Hung,"[""Tran Anh Hung""]",screenwriter
fact_0058,answer_briefly,Who was the screenwriter for I Come with the Rain? Answer briefly.,Who was the screenwriter for I Come with the Rain?,Tran Anh Hung,"[""Tran Anh Hung""]",screenwriter
fact_0058,no_explanation,Who was the screenwriter for I Come with the Rain? Give only the answer.,Who was the screenwriter for I Come with the Rain?,Tran Anh Hung,"[""Tran Anh Hung""]",screenwriter
fact_0058,direct_answer,Directly answer this factual question: Who was the screenwriter for I Come with the Rain?,Who was the screenwriter for I Come with the Rain?,Tran Anh Hung,"[""Tran Anh Hung""]",screenwriter
fact_0059,original,Who was the screenwriter for Over the Top?,Who was the screenwriter for Over the Top?,Stirling Silliphant,"[""Stirling Silliphant"", ""Stirling Dale Silliphant"", ""Sylvester Stallone"", ""Sly Stallone"", ""Sylvester Enzio Stallone"", ""Michael Sylvester Gardenzio Stallone""]",screenwriter
fact_0059,short_direct,Who is the screenwriter for Over the Top?,Who was the screenwriter for Over the Top?,Stirling Silliphant,"[""Stirling Silliphant"", ""Stirling Dale Silliphant"", ""Sylvester Stallone"", ""Sly Stallone"", ""Sylvester Enzio Stallone"", ""Michael Sylvester Gardenzio Stallone""]",screenwriter
fact_0059,answer_briefly,Who was the screenwriter for Over the Top? Answer briefly.,Who was the screenwriter for Over the Top?,Stirling Silliphant,"[""Stirling Silliphant"", ""Stirling Dale Silliphant"", ""Sylvester Stallone"", ""Sly Stallone"", ""Sylvester Enzio Stallone"", ""Michael Sylvester Gardenzio Stallone""]",screenwriter
fact_0059,no_explanation,Who was the screenwriter for Over the Top? Give only the answer.,Who was the screenwriter for Over the Top?,Stirling Silliphant,"[""Stirling Silliphant"", ""Stirling Dale Silliphant"", ""Sylvester Stallone"", ""Sly Stallone"", ""Sylvester Enzio Stallone"", ""Michael Sylvester Gardenzio Stallone""]",screenwriter
fact_0059,direct_answer,Directly answer this factual question: Who was the screenwriter for Over the Top?,Who was the screenwriter for Over the Top?,Stirling Silliphant,"[""Stirling Silliphant"", ""Stirling Dale Silliphant"", ""Sylvester Stallone"", ""Sly Stallone"", ""Sylvester Enzio Stallone"", ""Michael Sylvester Gardenzio Stallone""]",screenwriter
